표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7131030009","131030","옵투스제약","옵투스제약","OPTUS Pharmaceutical","2010/12/03","KOSDAQ","주권","우량기업부","보통주","500","17646590"
"KR7082210006","082210","옵트론텍","옵트론텍","OPTRONTEC Inc.","2005/06/24","KOSDAQ","주권","중견기업부","보통주","500","34963330"
"KR7109080002","109080","옵티시스","옵티시스","OPTICIS CO., LTD.","2011/07/12","KOSDAQ","주권","벤처기업부","보통주","500","5636000"
"KR7380540005","380540","옵티코어","옵티코어","OptiCore","2022/12/29","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","48913167"
"KR7153710009","153710","옵티팜","옵티팜","Optipharm. CO., LTD","2018/10/26","KOSDAQ","주권","기술성장기업부","보통주","500","14669958"
"KR7051390003","051390","와이더블유","YW","YW COMPANY LIMITED","2001/11/15","KOSDAQ","주권","중견기업부","보통주","500","11355368"
"KR7432430007","432430","와이랩","와이랩","YLAB Corporation","2023/07/20","KOSDAQ","주권","기술성장기업부","보통주","500","16508320"
"KR7338840002","338840","와이바이오로직스","와이바이오로직스","Y-Biologics, Inc","2023/12/05","KOSDAQ","주권","기술성장기업부","보통주","500","15178081"
"KR7057030009","057030","와이비엠넷","YBM넷","YBM NET, Inc.","2004/06/08","KOSDAQ","주권","중견기업부","보통주","500","16312697"
"KR7122990005","122990","와이솔","와이솔","WiSoL CO., LTD.","2010/09/10","KOSDAQ","주권","우량기업부","보통주","500","26639081"
"KR7232140004","232140","와이씨","와이씨","YC Corporation","2015/12/24","KOSDAQ","주권","우량기업부","보통주","100","82045350"
"KR7112290002","112290","와이씨켐","와이씨켐","YCCHEM","2022/07/14","KOSDAQ","주권","기술성장기업부","보통주","1000","10110545"
"KR7065530008","065530","와이어블","와이어블","Wiable","2002/06/04","KOSDAQ","주권","중견기업부","보통주","500","47838759"
"KR7067900001","067900","와이엔텍","와이엔텍","Y-ENTEC CO.,LTD.","2005/12/23","KOSDAQ","주권","우량기업부","보통주","500","18199659"
"KR7007530009","007530","와이엠","와이엠","YM","1994/08/05","KOSDAQ","주권","중견기업부","보통주","500","22254231"
"KR7155650005","155650","와이엠씨","와이엠씨","YMC Co., Ltd.","2012/11/15","KOSDAQ","주권","우량기업부","보통주","500","18974358"
"KR7273640003","273640","와이엠텍","와이엠텍","YM Tech Co., Ltd.","2021/09/10","KOSDAQ","주권","벤처기업부","보통주","500","10966000"
"KR7251370003","251370","와이엠티","와이엠티","YMT CO., LTD.","2017/04/27","KOSDAQ","주권","벤처기업부","보통주","500","17624010"
"KR7209640002","209640","와이제이링크","와이제이링크","YJ LINK Co.,Ltd.","2024/10/18","KOSDAQ","주권","중견기업부","보통주","500","28443146"
"KR7096250006","096250","와이즈넛","와이즈넛","WISEnut, Inc.","2025/01/24","KOSDAQ","주권","기술성장기업부","보통주","500","13096536"
"KR7273060004","273060","와이즈버즈","와이즈버즈","Wise birds Inc.","2017/08/07","KOSDAQ","주권","중견기업부","보통주","100","50459582"
"KR7019210004","019210","와이지-원","와이지-원","YG-1 CO., LTD","1997/08/06","KOSDAQ","주권","우량기업부","보통주","500","37193728"
"KR7122870009","122870","와이지엔터테인먼트","와이지엔터테인먼트","YG Entertainment Inc.","2011/11/23","KOSDAQ","주권","우량기업부","보통주","500","18691049"
"KR7040300006","040300","와이티엔","YTN","YTN","2001/09/04","KOSDAQ","주권","중견기업부","보통주","1000","47676980"
"KR7079000006","079000","와토스 코리아","와토스코리아","WATOS COREA CO.,LTD","2005/11/15","KOSDAQ","주권","중견기업부","보통주","500","7200000"
"KR7032820003","032820","우리기술","우리기술","Woori Technology, Incorporation","2000/06/22","KOSDAQ","주권","벤처기업부","보통주","500","171096282"
"KR7041190000","041190","우리기술투자","우리기술투자","Woori Technology Investment Co., Ltd","2000/06/09","KOSDAQ","주권","벤처기업부","보통주","500","84000000"
"KR7115440000","115440","우리넷","우리넷","Woori-Net Co., Ltd.","2010/01/27","KOSDAQ","주권","우량기업부","보통주","500","10794292"
"KR7046970000","046970","우리로","우리로","WOORIRO CO., LTD","2012/11/27","KOSDAQ","주권","벤처기업부","보통주","500","43824999"
"KR7082850009","082850","우리바이오","우리바이오","WOOREE BIO CO., LTD","2005/07/29","KOSDAQ","주권","벤처기업부","보통주","500","48456578"
"KR7215360009","215360","우리산업","우리산업","WOORY INDUSTRIAL CO.,LTD.","2015/05/06","KOSDAQ","주권","우량기업부","보통주","500","9132163"
"KR7072470008","072470","우리산업홀딩스","우리산업홀딩스","WOORY INDUSTRIAL HOLDINGS CO.,LTD.","2003/10/28","KOSDAQ","주권","중견기업부","보통주","500","18887341"
"KR7073560005","073560","우리손에프앤지 농업회사법인","우리손에프앤지","Woorison F&G CO., LTD.","2016/07/27","KOSDAQ","주권","우량기업부","보통주","500","69237643"
"KR7037400009","037400","우리엔터프라이즈","우리엔터프라이즈","WOOREE ENTERPRISE","1999/12/16","KOSDAQ","주권","중견기업부","보통주","500","26223346"
"KR7153490008","153490","우리이앤엘","우리이앤엘","WOOREE E&L CO.,Ltd.","2013/02/05","KOSDAQ","주권","우량기업부","보통주","500","51480000"
"KR7101170009","101170","우림피티에스","우림피티에스","WOORIM POWER TRAIN SOLUTION","2009/04/28","KOSDAQ","주권","벤처기업부","보통주","500","13500000"
"KR7103840005","103840","우양","우양","WOOYANG CO., LTD.","2019/11/20","KOSDAQ","주권","중견기업부","보통주","100","16366428"
"KR7101970002","101970","우양에이치씨","우양에이치씨","WOOYANG HC CO.,LTD.","2025/03/28","KOSDAQ","주권","중견기업부","보통주","500","14790009"
"KR7046940003","046940","우원개발","우원개발","Woowon Development Co., Ltd.","2002/06/18","KOSDAQ","주권","벤처기업부","보통주","500","18074350"
"KR7215380007","215380","우정바이오","우정바이오","WOOJUNG BIO, Inc.","2015/05/18","KOSDAQ","주권","벤처기업부","보통주","500","16829576"
"KR7065680001","065680","우주일렉트로닉스","우주일렉트로","UJU ELECTRONICS CO., LTD","2004/01/02","KOSDAQ","주권","우량기업부","보통주","500","9240471"
"KR7018620005","018620","우진비앤지","우진비앤지","WooGene B&G CO., Ltd","2008/05/20","KOSDAQ","주권","중견기업부","보통주","500","28889293"
"KR7457550002","457550","우진엔텍","우진엔텍","WOOJIN Ntec Inc.","2024/01/24","KOSDAQ","주권","중견기업부","보통주","500","9318958"
"KR7396470007","396470","워트 주식회사","워트","WOT.CO.,LTD.","2023/10/26","KOSDAQ","주권","중견기업부","보통주","100","16120000"
"KR7307280008","307280","원바이오젠","원바이오젠","Wonbiogen","2018/12/05","KOSDAQ","주권","벤처기업부","보통주","500","7094627"
"KR7032940009","032940","원익","원익","WonIk","1997/07/18","KOSDAQ","주권","우량기업부","보통주","500","18193230"
"KR7104830005","104830","원익머트리얼즈","원익머트리얼즈","WONIK Materials Co., Ltd.","2011/12/28","KOSDAQ","주권","우량기업부","보통주","500","12608000"
"KR7240810002","240810","원익아이피에스","원익IPS","WONIK IPS Co.,Ltd.","2016/05/02","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","49083901"
"KR7014190003","014190","원익큐브","원익큐브","WONIK CUBE Corp.","1996/04/26","KOSDAQ","주권","우량기업부","보통주","500","35399906"
"KR7074600008","074600","원익큐엔씨","원익QnC","WONIK QnC CORPORATION","2003/12/12","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","26288000"
"KR7217820000","217820","원익피앤이","원익피앤이","WONIK PNE","2015/12/07","KOSDAQ","주권","중견기업부","보통주","500","47454559"
"KR7030530000","030530","원익홀딩스","원익홀딩스","WONIK HOLDINGS CO.,LTD.","1996/09/24","KOSDAQ","주권","중견기업부","보통주","500","77237981"
"KR7012620001","012620","원일특강","원일특강","WonilSpecialSteel","1994/06/28","KOSDAQ","주권","우량기업부","보통주","500","4400000"
"KR7136150000","136150","원일티엔아이","원일티엔아이","WONILTNI CO., LTD.","2025/05/09","KOSDAQ","주권","벤처기업부","보통주","500","8381030"
"KR7382840007","382840","원준","원준","Onejoon Co., Ltd.","2021/10/07","KOSDAQ","주권","우량기업부","보통주","100","15271581"
"KR7336570007","336570","원텍","원텍","WONTECH","2019/12/19","KOSDAQ","주권","기술성장기업부","보통주","100","89968897"
"KR7376980009","376980","원티드랩","원티드랩","Wanted Lab Inc.","2021/08/11","KOSDAQ","주권","기술성장기업부","보통주","500","9766394"
"KR7008370009","008370","원풍","원풍","WonpoongCorporation","1992/12/18","KOSDAQ","주권","우량기업부","보통주","500","12000000"
"KR7008290009","008290","원풍물산","원풍물산","WonpungMulsan","1997/07/18","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","40693679"
"KR7101160000","101160","월덱스","월덱스","WORLDEX INDUSTRY & TRADING CO., LTD","2008/06/19","KOSDAQ","주권","우량기업부","보통주","500","16510993"
"KR7336060009","336060","웨이버스","웨이버스","WAVUS","2019/11/28","KOSDAQ","주권","벤처기업부","보통주","100","48155200"
"KR7095270005","095270","웨이브일렉트로닉스","웨이브일렉트로","Wave Electronics Co., Ltd.","2007/09/12","KOSDAQ","주권","벤처기업부","보통주","500","14372406"
"KR7289930000","289930","웨이비스","웨이비스","Wavice Inc.","2024/10/25","KOSDAQ","주권","기술성장기업부","보통주","500","13019010"
"KR7065950008","065950","웰크론","웰크론","Welcron Company Limited","2003/07/29","KOSDAQ","주권","중견기업부","보통주","500","28231302"
"KR7076080001","076080","웰크론한텍","웰크론한텍","WELCRON HANTEC CO.,LTD.","2008/07/18","KOSDAQ","주권","중견기업부","보통주","500","22594156"
"KR7043590009","043590","웰킵스하이텍","웰킵스하이텍","WELKEEPS HITECH","2001/12/20","KOSDAQ","주권","중견기업부","보통주","500","27136762"
"KR7196700009","196700","웹스","웹스","WAPS Co., Ltd.","2015/08/24","KOSDAQ","주권","벤처기업부","보통주","500","14364144"
"KR7069080000","069080","웹젠","웹젠","Webzen Inc.","2003/05/23","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","34600884"
